"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"heephwq  ","P",01/01/2025 22:00,0,1,"",20.3,<0> ,0.15,<0> ,0.1,<0> ,98.1,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/01/2025 22:15,0,1,"",20.3,<0> ,0.15,<0> ,0.1,<0> ,98.1,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/01/2025 22:30,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.1,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/01/2025 22:45,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.1,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/01/2025 23:00,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.1,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/01/2025 23:15,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.2,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/01/2025 23:30,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.0,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/01/2025 23:45,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.0,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/02/2025 0:00,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.0,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/02/2025 0:15,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.0,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/02/2025 0:30,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.0,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/02/2025 0:45,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.0,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/02/2025 1:00,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.0,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/02/2025 1:15,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.1,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/02/2025 1:30,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.1,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/02/2025 1:45,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.1,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/02/2025 2:00,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.1,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/02/2025 2:15,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.0,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/02/2025 2:30,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.2,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/02/2025 2:45,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.1,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/02/2025 3:00,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,98.0,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
"heephwq  ","P",01/02/2025 3:15,0,1,"",20.2,<0> ,0.15,<0> ,0.1,<0> ,97.9,<0> ,8.9,<0> ,0.43,<0> ,"","","",<-1> ,"","",7.8,<0> ,1,<0> ,"",<-1> ,
