"","station","parameter","Slope","std.error","conf.low","conf.high","statistic","p.value","Intercept","R2_adj","Dev_expl","model_error","ar1_start","threshold","model_refit","ar1_end","ts_start","ts_end","ts_length","n_points","Fall_estimate","Winter_estimate","Spring_estimate","Summer_estimate","Fall_p.value","Winter_p.value","Spring_p.value","Summer_p.value","Fall_std.error","Winter_std.error","Spring_std.error","Summer_std.error","sig_trend","sig_autocorr"
"1","acefcwq","do_pct_median",-0.160966558927579,0.0813171650111425,-0.320345273674319,-0.0015878441808391,-1.97949054059524,0.0489814839931508,389.799040129778,0.871967320208336,0.877047013886509,FALSE,0.3585,0.127853952928916,TRUE,0.0436,2002.78630136986,2022.95342465753,20.1671232876713,235,-0.143897052557396,-0.280727232996193,-0.0696767860708384,-0.129575278623041,0.528787197394044,0.0570312772298595,0.705461194806432,0.296964581017861,0.227085106593822,0.1444702948538,0.183411194477953,0.123099784586665,"yes","yes"
"2","acemcwq","do_pct_median",-0.10300126180676,0.102303650883099,-0.303512733024593,0.0975102094110734,-1.00681902275861,0.315113231147315,281.484190017995,0.812289663701461,0.819611249331784,FALSE,0.4771,0.128401509836532,TRUE,0.047,2002.78630136986,2022.95342465753,20.1671232876713,233,-0.0981813882473019,-0.228040194566429,0.0986302827140719,-0.0977922643863781,0.631240059094801,0.0866644539041827,0.569701763515645,0.549464909634609,0.203487065802009,0.130632396964598,0.17248913760946,0.162388909187829,"no","yes"
"3","acespwq","do_pct_median",-0.020078078864905,0.0596011390370323,-0.136894164815053,0.0967380070852426,-0.336874079745854,0.736519909506219,123.061306831375,0.834313786832451,0.840347662720246,FALSE,0.3861,0.126779530914778,TRUE,0.0071,2002.03835616438,2022.95342465753,20.9150684931508,239,0.0129450377292488,-0.149228896845083,0.211482181518639,-0.119436923957289,0.928818591949302,0.0738123352690241,0.104747763468916,0.148484405772559,0.14430303955081,0.0818199867783394,0.128422280184256,0.0815410541882098,"no","yes"
"4","apacpwq","do_pct_median",0.24708906810976,0.0853439749723863,0.0798179508663951,0.414360185353125,2.89521396430981,0.00414406443434224,-404.26329479786,0.543811810596138,0.56019554716145,FALSE,0.4223,0.124962739498557,TRUE,0.0487,2002.03835616438,2022.95342465753,20.9150684931508,246,0.0596120641233565,-0.143278342900827,0.523643998674479,0.56827732130657,0.525523647193313,0.294285465983848,0.000151216214228596,3.7534003227489e-05,0.0933503651099985,0.135357731998441,0.129565902696289,0.127624204539117,"yes","yes"
"5","apadbwq","do_pct_median",-0.103976083383369,0.0749773515608365,-0.250928992098806,0.0429768253320689,-1.38676655308374,0.166868034294946,303.654966200733,0.555077902916104,0.568554607040434,FALSE,0.3773,0.127582788354453,TRUE,-9e-04,2002.03835616438,2022.95342465753,20.9150684931508,236,-0.0956474042755296,-0.155784988880394,-0.229092811378664,0.0701608199608245,0.462718072072626,0.148916318798844,0.0415601863667623,0.471014608446023,0.129348156428167,0.106496761049804,0.109877146329043,0.0966851673580703,"no","yes"
"6","apaebwq","do_pct_median",-0.553773424630219,0.223289812456745,-0.991413415160141,-0.116133434100296,-2.48006578776403,0.0139004524620769,1197.05109685395,0.556580079746301,0.572010333919964,FALSE,0.4605,0.130664265636004,TRUE,0.0571,2002.03835616438,2022.95342465753,20.9150684931508,225,-0.329945932939389,-0.334489234347593,-0.406357698293258,-1.18889978337356,0.397533766054623,0.123612396294539,0.174946379543421,0.000253516914949622,0.386775446557326,0.213840321818434,0.295835437916856,0.303478193312968,"yes","yes"
"7","apaeswq","do_pct_median",-0.173512169880841,0.170640514145668,-0.507961431909749,0.160937092148066,-1.01682868660793,0.310329599381971,429.825891550974,0.613262223229404,0.627380250023529,FALSE,0.4099,0.12812685388601,TRUE,0.054,2002.03835616438,2022.95342465753,20.9150684931508,234,-0.17726354216488,-0.0763613898227106,-0.0930871467305297,-0.240438955429728,0.544385196297201,0.690065384437593,0.721779947661234,0.373565043002033,0.290570486628877,0.190522141456294,0.260153705234907,0.268089167298586,"no","yes"
"8","cbmipwq","do_pct_median",-0.113678130930078,0.0645445207190985,-0.24018306693891,0.0128268050787543,-1.76123596028874,0.0795777350049623,313.344248977177,0.826374298304569,0.833453052861039,FALSE,0.493,0.128677939671741,TRUE,-0.1054,2003.28493150685,2022.95342465753,19.668493150685,232,-0.148586326956763,-0.0654035041285947,-0.0897410693112423,-0.0980776777995196,0.276121397596534,0.34379395289708,0.505537521267324,0.24975370540884,0.135148002543372,0.0684563659837255,0.13393379512284,0.0843457455194265,"no","yes"
"9","cbmmcwq","do_pct_median",0.826103670975187,0.15939080213549,0.513703439322676,1.1385039026277,5.18288169647931,5.6362902436641e-07,-1589.67354855709,0.697244435091009,0.709788082034691,FALSE,0.4636,0.139997427467147,TRUE,0.0505,2003.28493150685,2022.95342465753,19.668493150685,196,0.977884991760838,0.265471735873786,0.543322167804034,1.31899003538117,0.000942435433776263,0.00619329049078,0.0408327991480373,2.64556046682569e-06,0.279731563228921,0.0862523965339462,0.259511471552648,0.25332730236975,"yes","yes"
"10","cbmocwq","do_pct_median",-0.331708387094298,0.24332949808983,-0.808625439726572,0.145208665537976,-1.36320663831658,0.17459128829148,763.241075120654,0.133818312967432,0.173210883735098,FALSE,0.4164,0.145282196422068,TRUE,0.0944,2003.28493150685,2022.95342465753,19.668493150685,182,0.347611853504596,0.0403397663019781,-0.162412549965117,-1.4537344867813,0.0539552483507462,0.900143949705554,0.504926928565074,0.00238914597719189,0.176122424981545,0.314153827688035,0.242015909393577,0.457291760090976,"no","yes"
